team,conference,win,loss,offrank,offplays,offyards,offyardsplay,offtds,totaltds,offyardspergame,defrank,defplays,yardsallowed,yardsplayallowed,offtdsallowed,totaltdsallowed,yardspergameallowed,firstdownrank,firstdownruns,firstdownpasses,firstdownpenalties,firstdowns,firstdowndefrank,oppfirstdownruns,oppfirstdownpasses,oppfirstdownpenalties,oppfirstdowns,x4thdownrank,x4thattempts,x4thconversions,x4thpercent,x4rddowndefrank,opp4thconversion,opp4thattempt,opponent4thpercent,kickoffreturnrank,kickoffsreturned,kickoffreturnyards,kickoffreturntouchdowns,avgyardperkickoffreturn,passingoffrank,passattempts,passcompletions,interceptionsthrownx,passyards,passyardsattempt,yardscompletion,passtouchdowns,passyardspergame,passdefrank,oppcompletionsallowed,opppassattempts,opppassydsallowed,opppasstdsallowed,yardsattemptallowed,yardscompletionallowed,passyardspergameallowed,penaltyrank,penaltyyards,penaltyyardspergame,puntreturnrank,puntreturns,netpuntreturnyards,puntreturntouchdowns,avgyardsperpuntreturn,puntreturndefrank,opppuntreturns,oppnetpuntreturnyards,opppuntreturntouchdownsallowed,avgyardsallowedperpuntreturn,redzoneoffrank,redzoneattempts,redzonerushtd,redzonepasstd,redzonefieldgoalsmade,redzonescores,redzonepoints,redzonedefrank,oppredzoneattempts,oppredzonerushtdallowed,oppredzonepasstouchdownsallowed,oppredzonefieldgoalsmade,oppredzonescores,redzonepointsallowed,rushingoffrank,rushattempts,rushyds,yardsrush,rushingtd,rushingyardspergame,rushingdefrank,opprushattempts,opprushyardsalloweed,ydsrushallowed,opprushtouchdownsallowed,rushyardspergameallowed,sackrank,sackyards,averagesackspergame,scoringdefrank,touchdownsallowed,opponentextrapoints,x2pointconversionsallowed,oppdeflectedextrapoints,oppfeildgoalsmade,oppsafety,pointsallowed,avgpointspergameallowed,scoringoffrank,x2pointconversions,defensivepoints,feildgoals,totalpoints,pointspergame,tackleforlossrank,solotackleforloss,assisttackleforloss,tackleforlossyards,totaltackleforloss,tackleforlosspergame,x3rddownrank,x3rdattempts,x3rdconversions,x3rdpercent,x3rddowndefrank,opp3rdconversion,opp3rdattempt,opponent3rdpercent,timeofpossessionrank,turnoverrank,fumblesrecovered,opponentsintercepted,turnoversgain,fumbleslost,interceptionsthrowny,turnoverslost,turnovermargin,avgturnovermarginpergame,40,kickoffreturndefrank,oppkickoffreturns,kickofftouchbacks,opponentkickoffreturnyards,oppkickoffreturntouchdownsallowed,avgyardsperkickoffreturnallowed,unnamed:_0,na,kickoff_touchbacks,interceptions_thrownx,interceptions_throwny,opp_field_goals_made,field_goals
Illinois,Big Ten,28.0,54.0,706.0,5426.0,28371.0,36.63,208.0,79.0,2422.6,603.0,5998.0,35188.0,41.31,313.0,329.0,3016.6,527.0,891.0,774.0,145.0,1810.0,527.0,891.0,774.0,145.0,1810.0,662.0,47.0,108.0,3.034,591.0,79.0,139.0,3.95,494.0,155.0,1508.0,1973.0,45.379999999999995,643.0,2575.0,1389.0,75.0,15981.0,43.5,82.34,101.0,1346.5,342.0,1425.0,2350.0,17504.0,137.0,52.82,86.1,1502.4,525.0,4626.0,392.4,583.0,173.0,1579.0,3.0,64.47,583.0,173.0,1579.0,3.0,64.47,586.0,244.0,79.0,58.0,55.0,192.0,5.534,606.0,346.0,135.0,90.0,73.0,298.0,6.039,581.0,2851.0,12390.0,30.29,107.0,1076.2,738.0,3648.0,17684.0,34.09,176.0,1514.2,539.0,1407.0,16.82,603.0,329.0,304.0,9.0,0.0,90.0,4.0,2574.0,221.2,717.0,5.0,1.0,89.0,1850.0,156.5,368.0,403.0,250.0,1835.0,528.0,44.7,728.0,1180.0,408.0,2.4219999999999997,554.0,481.0,1183.0,2.868,738.0,427.0,70.0,70.0,140.0,61.0,75.0,136.0,4.0,0.54,104.97999999999999,346.0,92.0,156.0,1972.0,2.0,104.97999999999999,170.0,26.78,76.0,6.0,6.0,19.0,21.0
Indiana,Big Ten,40.0,42.0,388.0,6180.0,34818.0,39.15,276.0,102.0,2937.2,441.0,5897.0,33046.0,39.019999999999996,279.0,296.0,2801.2,399.0,696.0,848.0,167.0,1711.0,399.0,696.0,848.0,167.0,1711.0,679.0,63.0,153.0,2.913,542.0,79.0,141.0,3.814,597.0,202.0,1574.0,3081.0,47.650000000000006,294.0,2933.0,1785.0,74.0,21095.0,49.91,83.00999999999999,140.0,1792.9,475.0,1575.0,2734.0,19351.0,149.0,49.31,86.0,1644.6,563.0,4751.0,399.56,388.0,126.0,840.0,4.0,48.89,388.0,126.0,840.0,4.0,48.89,476.0,327.0,109.0,81.0,81.0,271.0,5.778,624.0,282.0,88.0,80.0,78.0,246.0,5.943,535.0,3247.0,13723.0,28.67,136.0,1144.2,447.0,3163.0,13695.0,30.24,130.0,1156.6,395.0,1067.0,13.29,470.0,296.0,265.0,9.0,1.0,96.0,2.0,2353.0,196.6,460.0,11.0,0.0,112.0,2374.0,202.5,334.0,450.0,170.0,2006.0,535.0,45.6,496.0,1256.0,491.0,2.734,306.0,443.0,1219.0,2.549,530.0,395.0,58.0,80.0,138.0,54.0,74.0,128.0,10.0,1.41,109.12,385.0,141.0,146.0,3080.0,1.0,109.12,248.0,27.69,59.0,15.0,15.0,13.0,14.0
Iowa,Big Ten,60.0,27.0,649.0,5840.0,31704.0,37.94,285.0,79.0,2550.8,132.0,5866.0,28795.0,34.13,187.0,199.0,2309.5,223.0,649.0,788.0,103.0,1540.0,223.0,649.0,788.0,103.0,1540.0,122.0,86.0,131.0,4.596,423.0,70.0,139.0,3.5220000000000002,192.0,185.0,1392.0,2190.0,39.65,590.0,2538.0,1492.0,51.0,17910.0,49.04,83.68,134.0,1437.9,219.0,1550.0,2799.0,17332.0,114.0,43.35,78.46,1395.6,117.0,3415.0,274.18,472.0,95.0,818.0,3.0,61.09,472.0,95.0,818.0,3.0,61.09,338.0,333.0,129.0,87.0,69.0,285.0,6.036,282.0,229.0,56.0,62.0,65.0,183.0,5.561,524.0,3302.0,13794.0,29.330000000000002,151.0,1112.8,203.0,3067.0,11463.0,25.74,73.0,913.7,322.0,1150.0,12.44,122.0,199.0,186.0,4.0,0.0,91.0,1.0,1663.0,132.5,454.0,5.0,0.0,109.0,2485.0,201.0,649.0,344.0,206.0,1882.0,447.0,36.6,490.0,1217.0,478.0,2.705,277.0,464.0,1276.0,2.556,350.0,205.0,48.0,105.0,153.0,57.0,51.0,108.0,45.0,3.83,86.84,85.0,126.0,174.0,2189.0,0.0,86.84,300.0,17.33,77.0,11.0,11.0,16.0,17.0
Maryland,Big Ten,30.0,49.0,666.0,5109.0,28361.0,39.54,241.0,98.0,2542.0,604.0,5972.0,33535.0,39.19,304.0,325.0,2973.5,570.0,805.0,821.0,170.0,1796.0,570.0,805.0,821.0,170.0,1796.0,490.0,52.0,124.0,3.716,442.0,69.0,137.0,3.627,451.0,288.0,1959.0,4039.0,46.900000000000006,672.0,2208.0,1177.0,86.0,14315.0,46.55,86.07000000000001,101.0,1313.7,483.0,1476.0,2550.0,18383.0,136.0,49.91,86.53,1611.4,655.0,4930.0,447.85,419.0,111.0,866.0,1.0,52.35,419.0,111.0,866.0,1.0,52.35,517.0,219.0,83.0,48.0,47.0,178.0,5.645,551.0,358.0,147.0,85.0,73.0,305.0,5.969,405.0,2901.0,14046.0,33.730000000000004,140.0,1228.3,625.0,3422.0,15152.0,31.18,168.0,1362.1000000000001,727.0,1421.0,20.490000000000002,656.0,325.0,302.0,3.0,0.0,96.0,4.0,2554.0,226.60000000000002,605.0,6.0,0.0,65.0,2053.0,180.5,437.0,388.0,162.0,1813.0,469.0,42.0,735.0,1090.0,361.0,2.349,515.0,494.0,1210.0,2.862,783.0,580.0,48.0,63.0,111.0,51.0,86.0,137.0,-26.0,-2.94,99.33,249.0,204.0,32.0,4038.0,1.0,99.33,170.0,26.02,66.0,12.0,12.0,22.0,19.0
Michigan,Big Ten,54.0,29.0,539.0,5662.0,32167.0,39.839999999999996,293.0,53.0,2705.5,116.0,5282.0,24488.0,32.85,185.0,202.0,2141.5,85.0,590.0,600.0,167.0,1357.0,85.0,590.0,600.0,167.0,1357.0,526.0,58.0,115.0,3.436,360.0,59.0,129.0,3.29,393.0,203.0,1636.0,2574.0,43.87,530.0,2427.0,1434.0,67.0,17681.0,50.67,85.98,118.0,1507.9,132.0,1174.0,2264.0,14054.0,86.0,43.95,84.22,1233.6,442.0,4315.0,365.33,508.0,121.0,1094.0,4.0,58.79,508.0,121.0,1094.0,4.0,58.79,300.0,342.0,145.0,69.0,85.0,299.0,6.075,447.0,224.0,81.0,51.0,54.0,186.0,5.823,429.0,3235.0,14486.0,31.36,175.0,1197.6,188.0,3018.0,10434.0,24.560000000000002,99.0,907.9000000000001,369.0,1093.0,13.03,184.0,202.0,188.0,4.0,0.0,76.0,1.0,1638.0,146.3,393.0,13.0,2.0,111.0,2550.0,213.0,284.0,452.0,290.0,2578.0,597.0,48.8,427.0,1147.0,473.0,2.856,192.0,363.0,1165.0,2.2520000000000002,287.0,513.0,39.0,60.0,99.0,46.0,67.0,113.0,-14.0,-1.36,98.9,274.0,133.0,176.0,2573.0,2.0,98.9,148.0,12.14,138.0,9.0,9.0,17.0,29.0
Michigan St.,Big Ten,52.0,33.0,570.0,6173.0,33221.0,37.38,259.0,113.0,2708.7,158.0,5527.0,28149.0,35.73,223.0,241.0,2349.6,148.0,505.0,815.0,144.0,1464.0,148.0,505.0,815.0,144.0,1464.0,522.0,63.0,130.0,3.3739999999999997,449.0,68.0,133.0,3.613,531.0,263.0,2267.0,3460.0,46.06,425.0,2837.0,1595.0,77.0,19876.0,49.34,87.57,131.0,1638.2,380.0,1615.0,2775.0,18639.0,117.0,47.25,80.93,1542.1,535.0,4703.0,392.52,496.0,135.0,1220.0,5.0,63.37,496.0,135.0,1220.0,5.0,63.37,465.0,319.0,100.0,91.0,73.0,264.0,5.85,469.0,243.0,88.0,57.0,58.0,203.0,5.838,588.0,3336.0,13345.0,27.080000000000002,128.0,1070.4,139.0,2752.0,9510.0,24.17,106.0,807.5,305.0,903.0,11.89,272.0,241.0,220.0,9.0,1.0,83.0,2.0,1939.0,165.8,613.0,4.0,0.0,105.0,2244.0,180.5,408.0,365.0,312.0,2088.0,521.0,42.9,446.0,1289.0,532.0,2.848,232.0,413.0,1193.0,2.4459999999999997,211.0,413.0,68.0,86.0,154.0,56.0,77.0,133.0,21.0,0.9099999999999999,106.61,367.0,164.0,85.0,3459.0,2.0,106.61,280.0,17.71,58.0,10.0,10.0,13.0,6.0
Minnesota,Big Ten,49.0,35.0,628.0,5605.0,30960.0,38.65,273.0,88.0,2586.6,250.0,5547.0,29889.0,38.56,243.0,258.0,2517.9,228.0,683.0,766.0,119.0,1568.0,228.0,683.0,766.0,119.0,1568.0,348.0,58.0,103.0,4.01,513.0,66.0,123.0,3.802,361.0,219.0,1242.0,3251.0,41.71,649.0,2095.0,1178.0,70.0,15823.0,52.87,94.85,103.0,1319.7,212.0,1532.0,2577.0,16562.0,117.0,45.65,76.28,1383.7,186.0,3582.0,297.03999999999996,216.0,119.0,685.0,0.0,30.52,216.0,119.0,685.0,0.0,30.52,398.0,335.0,151.0,68.0,66.0,285.0,5.931,646.0,263.0,94.0,75.0,60.0,229.0,6.082,378.0,3510.0,15137.0,30.23,170.0,1267.0,424.0,2970.0,13327.0,32.36,126.0,1134.0,311.0,971.0,12.47,303.0,258.0,224.0,10.0,0.0,85.0,2.0,2051.0,173.4,500.0,6.0,0.0,97.0,2317.0,192.6,521.0,384.0,200.0,1858.0,484.0,39.0,417.0,1130.0,457.0,2.87,444.0,463.0,1182.0,2.745,232.0,375.0,66.0,72.0,138.0,54.0,70.0,124.0,14.0,1.08,96.29,263.0,164.0,130.0,3251.0,1.0,96.29,247.0,16.67,103.0,9.0,9.0,18.0,15.0
Nebraska,Big Ten,40.0,43.0,389.0,5948.0,34857.0,40.89,291.0,109.0,2928.5,456.0,5788.0,33115.0,40.0,281.0,302.0,2792.8,363.0,691.0,845.0,143.0,1679.0,363.0,691.0,845.0,143.0,1679.0,457.0,63.0,125.0,3.639,401.0,69.0,140.0,3.489,492.0,276.0,2256.0,3692.0,44.04,461.0,2632.0,1519.0,88.0,19347.0,51.269999999999996,88.76,128.0,1618.1,416.0,1600.0,2762.0,18914.0,114.0,48.03,82.4,1589.1000000000001,542.0,4760.0,402.90000000000003,616.0,107.0,1059.0,4.0,66.92,616.0,107.0,1059.0,4.0,66.92,418.0,334.0,139.0,64.0,76.0,279.0,5.838,533.0,318.0,123.0,76.0,71.0,270.0,5.9479999999999995,347.0,3316.0,15510.0,32.46,163.0,1310.6,507.0,3026.0,14201.0,32.510000000000005,167.0,1203.6000000000001,330.0,1049.0,12.58,503.0,302.0,276.0,7.0,0.0,94.0,6.0,2396.0,203.0,447.0,9.0,0.0,99.0,2453.0,204.0,560.0,352.0,200.0,1804.0,452.0,38.5,435.0,1189.0,484.0,2.825,415.0,443.0,1168.0,2.684,441.0,597.0,42.0,75.0,117.0,58.0,88.0,146.0,-29.0,-2.82,109.32000000000001,406.0,170.0,120.0,3691.0,4.0,109.32000000000001,283.0,25.33,78.0,11.0,11.0,16.0,9.0
Northwestern,Big Ten,50.0,35.0,678.0,6355.0,30285.0,33.22,233.0,63.0,2486.5,272.0,6035.0,30868.0,35.64,202.0,220.0,2530.2,341.0,665.0,868.0,107.0,1640.0,341.0,665.0,868.0,107.0,1640.0,509.0,94.0,190.0,3.484,277.0,65.0,144.0,3.169,296.0,245.0,1508.0,3364.0,40.209999999999994,602.0,2840.0,1618.0,87.0,16871.0,40.85,72.05,89.0,1376.5,419.0,1742.0,2999.0,19270.0,98.0,44.35,76.75,1564.0,152.0,3305.0,273.54,264.0,135.0,772.0,1.0,36.019999999999996,264.0,135.0,772.0,1.0,36.019999999999996,558.0,291.0,116.0,53.0,69.0,238.0,5.676,177.0,294.0,89.0,63.0,73.0,225.0,5.332,517.0,3515.0,13414.0,26.63,144.0,1109.9,246.0,3036.0,11598.0,27.03,104.0,966.0,545.0,1412.0,16.43,192.0,220.0,197.0,2.0,0.0,99.0,4.0,1826.0,148.4,678.0,8.0,1.0,82.0,1970.0,161.6,410.0,421.0,206.0,1979.0,524.0,43.0,539.0,1386.0,534.0,2.695,277.0,467.0,1290.0,2.524,475.0,329.0,63.0,93.0,156.0,48.0,87.0,135.0,21.0,1.69,96.83,209.0,174.0,80.0,3362.0,0.0,96.83,300.0,17.04,16.0,14.0,14.0,13.0,7.0
Ohio St.,Big Ten,81.0,8.0,100.0,6648.0,44462.0,47.06,465.0,114.0,3505.6,150.0,6017.0,28686.0,33.61,195.0,209.0,2272.5,272.0,609.0,774.0,161.0,1544.0,272.0,609.0,774.0,161.0,1544.0,151.0,79.0,125.0,4.467,269.0,62.0,142.0,3.115,111.0,345.0,2144.0,3957.0,36.5,348.0,2714.0,1792.0,54.0,22927.0,59.2,89.27,240.0,1793.5,272.0,1537.0,2859.0,17580.0,94.0,43.24,79.82,1416.2,521.0,5104.0,398.03,282.0,71.0,369.0,1.0,54.0,282.0,71.0,369.0,1.0,54.0,439.0,440.0,177.0,122.0,74.0,372.0,5.873,313.0,245.0,81.0,59.0,53.0,193.0,5.493,120.0,3934.0,21535.0,38.54,225.0,1711.9,153.0,3158.0,11106.0,24.490000000000002,101.0,856.3,420.0,1041.0,14.19,126.0,209.0,186.0,4.0,0.0,72.0,2.0,1668.0,131.8,70.0,2.0,0.0,89.0,3728.0,292.8,211.0,539.0,228.0,2694.0,653.0,50.5,108.0,1221.0,589.0,3.3890000000000002,110.0,435.0,1331.0,2.295,278.0,171.0,66.0,103.0,169.0,62.0,54.0,116.0,53.0,4.609999999999999,88.02000000000001,99.0,225.0,124.0,3957.0,3.0,88.02000000000001,131.0,17.82,67.0,8.0,8.0,13.0,17.0
Penn St.,Big Ten,60.0,28.0,423.0,6111.0,35658.0,40.769999999999996,338.0,65.0,2842.0,155.0,6138.0,29294.0,33.46,205.0,221.0,2326.4,289.0,661.0,802.0,123.0,1586.0,289.0,661.0,802.0,123.0,1586.0,450.0,68.0,133.0,3.601,197.0,57.0,144.0,2.5949999999999998,407.0,220.0,1982.0,2926.0,51.9,386.0,2805.0,1625.0,65.0,21260.0,53.36,92.17999999999999,157.0,1694.2,255.0,1636.0,2833.0,17769.0,94.0,43.95,76.13,1411.4,148.0,3716.0,293.87,268.0,143.0,805.0,1.0,39.22,268.0,143.0,805.0,1.0,39.22,280.0,358.0,140.0,83.0,90.0,313.0,6.08,521.0,251.0,96.0,50.0,67.0,213.0,5.936,468.0,3306.0,14398.0,30.21,181.0,1148.0,213.0,3305.0,11525.0,24.28,111.0,915.0,632.0,1375.0,18.27,175.0,221.0,202.0,4.0,0.0,92.0,4.0,1820.0,146.5,341.0,5.0,0.0,113.0,2801.0,221.9,115.0,515.0,314.0,2849.0,672.0,53.3,498.0,1223.0,468.0,2.693,228.0,479.0,1362.0,2.467,496.0,411.0,68.0,73.0,141.0,64.0,65.0,129.0,12.0,0.68,93.98,173.0,151.0,224.0,2923.0,1.0,93.98,169.0,14.0,106.0,10.0,10.0,14.0,13.0
Purdue,Big Ten,27.0,53.0,519.0,5795.0,31323.0,37.97,254.0,91.0,2735.0,605.0,5873.0,34236.0,40.589999999999996,298.0,313.0,2983.5,500.0,751.0,880.0,138.0,1769.0,500.0,751.0,880.0,138.0,1769.0,507.0,88.0,177.0,3.523,483.0,64.0,125.0,3.579,505.0,203.0,1682.0,2728.0,44.55,262.0,3276.0,1956.0,100.0,21476.0,45.94,76.17,158.0,1897.5,588.0,1566.0,2592.0,19401.0,136.0,52.7,86.78,1699.9,351.0,3909.0,345.34000000000003,444.0,97.0,750.0,2.0,58.5,444.0,97.0,750.0,2.0,58.5,358.0,277.0,74.0,94.0,71.0,239.0,5.976,362.0,352.0,132.0,79.0,77.0,288.0,5.722,740.0,2519.0,9847.0,26.689999999999998,96.0,837.4,556.0,3281.0,14835.0,31.01,162.0,1283.5,544.0,1264.0,16.1,586.0,313.0,285.0,5.0,0.0,101.0,2.0,2480.0,217.4,592.0,5.0,0.0,87.0,2080.0,182.2,548.0,380.0,136.0,1729.0,448.0,39.2,554.0,1216.0,464.0,2.665,593.0,496.0,1182.0,2.957,648.0,635.0,47.0,67.0,114.0,49.0,100.0,149.0,-35.0,-2.8299999999999996,108.78,360.0,132.0,142.0,2728.0,1.0,108.78,210.0,19.88,71.0,12.0,12.0,12.0,18.0
Rutgers,Big Ten,24.0,58.0,774.0,5349.0,25668.0,33.41,186.0,98.0,2191.4,648.0,5766.0,35554.0,43.11,334.0,351.0,3038.3,433.0,795.0,821.0,136.0,1752.0,433.0,795.0,821.0,136.0,1752.0,665.0,54.0,123.0,3.026,417.0,65.0,130.0,3.566,389.0,236.0,2015.0,2866.0,45.16,738.0,2246.0,1219.0,89.0,13534.0,41.879999999999995,76.96,85.0,1158.7,435.0,1449.0,2403.0,18385.0,147.0,53.58,88.57,1574.3,431.0,4291.0,369.3,462.0,156.0,1287.0,3.0,54.870000000000005,462.0,156.0,1287.0,3.0,54.870000000000005,561.0,216.0,75.0,42.0,58.0,175.0,5.593,419.0,346.0,134.0,89.0,61.0,284.0,5.78,611.0,3103.0,12134.0,27.299999999999997,101.0,1032.7,713.0,3363.0,17169.0,35.51,187.0,1464.0,404.0,1138.0,13.81,679.0,351.0,332.0,3.0,0.0,87.0,1.0,2707.0,231.1,744.0,4.0,0.0,76.0,1637.0,141.0,599.0,336.0,210.0,1582.0,441.0,38.4,769.0,1177.0,396.0,2.362,614.0,496.0,1163.0,2.975,552.0,629.0,45.0,63.0,108.0,54.0,89.0,143.0,-35.0,-2.7399999999999998,100.13,276.0,141.0,47.0,2866.0,4.0,100.13,333.0,17.58,39.0,10.0,10.0,12.0,12.0
Wisconsin,Big Ten,66.0,22.0,407.0,6105.0,36468.0,41.3,324.0,83.0,2867.7,49.0,5303.0,25571.0,33.71,164.0,176.0,2020.9,78.0,515.0,702.0,134.0,1351.0,78.0,515.0,702.0,134.0,1351.0,308.0,57.0,90.0,4.259,297.0,50.0,116.0,2.902,263.0,218.0,2432.0,1953.0,36.9,689.0,2226.0,1371.0,79.0,16221.0,50.47,82.09,114.0,1293.2,86.0,1294.0,2514.0,15830.0,87.0,44.07,85.62,1253.7,255.0,4004.0,317.87,416.0,115.0,839.0,2.0,49.21,416.0,115.0,839.0,2.0,49.21,339.0,363.0,149.0,89.0,74.0,312.0,6.016,263.0,223.0,58.0,49.0,68.0,175.0,5.4239999999999995,239.0,3879.0,20247.0,35.71,210.0,1574.6,98.0,2789.0,9741.0,24.29,77.0,767.3,246.0,875.0,11.34,75.0,176.0,163.0,6.0,0.0,92.0,0.0,1507.0,119.2,392.0,3.0,0.0,102.0,2699.0,209.7,495.0,427.0,176.0,2241.0,515.0,40.5,304.0,1184.0,513.0,3.004,80.0,351.0,1172.0,2.069,44.0,424.0,60.0,90.0,150.0,62.0,79.0,141.0,9.0,0.38999999999999996,97.75999999999999,212.0,100.0,243.0,1953.0,0.0,97.75999999999999,287.0,19.16,54.0,13.0,13.0,11.0,12.0
