Team_Name,Conference,Wins,Losses,Win_ratio,Offensive_Rank,Offensive_Plays_Count,Offensive_Yards_Total,Yards_Per_Offensive_Play,Offensive_Touchdowns_Count,Total_tds,off_yards_per_game,deffensive_rank,deffensive_plays,yards_allowed,yards_per_play_allowed,offensive_tds_allowed,totaltdsallowed,yardspergameallowed,firstdownrank,firstdownruns,firstdownpasses,firstdownpenalties,firstdowns,firstdowndefrank,oppfirstdownruns,oppfirstdownpasses,oppfirstdownpenalties,oppfirstdowns,x4thdownrank,x4thattempts,x4thconversions,x4thpercent,x4rddowndefrank,opp4thconversion,opp4thattempt,opponent4thpercent,kickoffreturnrank,kickoffsreturned,kickoffreturnyards,kickoffreturntouchdowns,avgyardperkickoffreturn,passingoffrank,passattempts,passcompletions,interceptionsthrownx,passyards,passyardsattempt,yardscompletion,passtouchdowns,passyardspergame,passdefrank,oppcompletionsallowed,opppassattempts,opppassydsallowed,opppasstdsallowed,yardsattemptallowed,yardscompletionallowed,passyardspergameallowed,penaltyrank,penaltyyards,penaltyyardspergame,puntreturnrank,puntreturns,netpuntreturnyards,puntreturntouchdowns,avgyardsperpuntreturn,puntreturndefrank,opppuntreturns,oppnetpuntreturnyards,opppuntreturntouchdownsallowed,avgyardsallowedperpuntreturn,redzoneoffrank,redzoneattempts,redzonerushtd,redzonepasstd,redzonefieldgoalsmade,redzonescores,redzonepoints,redzonedefrank,oppredzoneattempts,oppredzonerushtdallowed,oppredzonepasstouchdownsallowed,oppredzonefieldgoalsmade,oppredzonescores,redzonepointsallowed,rushingoffrank,rushattempts,rushyds,yardsrush,rushingtd,rushingyardspergame,rushingdefrank,opprushattempts,opprushyardsalloweed,ydsrushallowed,opprushtouchdownsallowed,rushyardspergameallowed,sackrank,sackyards,averagesackspergame,scoringdefrank,touchdownsallowed,opponentextrapoints,x2pointconversionsallowed,oppdeflectedextrapoints,oppfeildgoalsmade,oppsafety,pointsallowed,avgpointspergameallowed,scoringoffrank,x2pointconversions,defensivepoints,feildgoals,totalpoints,pointspergame,tackleforlossrank,solotackleforloss,assisttackleforloss,tackleforlossyards,totaltackleforloss,tackleforlosspergame,x3rddownrank,x3rdattempts,x3rdconversions,x3rdpercent,x3rddowndefrank,opp3rdconversion,opp3rdattempt,opponent3rdpercent,timeofpossessionrank,turnoverrank,fumblesrecovered,opponentsintercepted,turnoversgain,fumbleslost,interceptionsthrowny,turnoverslost,turnovermargin,avgturnovermarginpergame,40,kickoffreturndefrank,oppkickoffreturns,kickofftouchbacks,opponentkickoffreturnyards,oppkickoffreturntouchdownsallowed,avgyardsperkickoffreturnallowed,unnamed:_0,na,kickoff_touchbacks,interceptions_thrownx,interceptions_throwny,opp_field_goals_made,field_goals
Illinois,Big Ten,28,54,0.341463415,706,5426,28371,36.63,208,79,2422.6,603,5998,35188,41.31,313,329,3016.6,527,891,774,145,1810,527,891,774,145,1810,662,47,108,3.034,591,79,139,3.95,494,155,1508,1973,45.38,643,2575,1389,75,15981,43.5,82.34,101,1346.5,342,1425,2350,17504,137,52.82,86.1,1502.4,525,4626,392.4,583,173,1579,3,64.47,583,173,1579,3,64.47,586,244,79,58,55,192,5.534,606,346,135,90,73,298,6.039,581,2851,12390,30.29,107,1076.2,738,3648,17684,34.09,176,1514.2,539,1407,16.82,603,329,304,9,0,90,4,2574,221.2,717,5,1,89,1850,156.5,368,403,250,1835,528,44.7,728,1180,408,2.422,554,481,1183,2.868,738,427,70,70,140,61,75,136,4,0.54,104.98,346,92,156,1972,2,104.98,170,26.78,76,6,6,19,21
Indiana,Big Ten,40,42,0.487804878,388,6180,34818,39.15,276,102,2937.2,441,5897,33046,39.02,279,296,2801.2,399,696,848,167,1711,399,696,848,167,1711,679,63,153,2.913,542,79,141,3.814,597,202,1574,3081,47.65,294,2933,1785,74,21095,49.91,83.01,140,1792.9,475,1575,2734,19351,149,49.31,86,1644.6,563,4751,399.56,388,126,840,4,48.89,388,126,840,4,48.89,476,327,109,81,81,271,5.778,624,282,88,80,78,246,5.943,535,3247,13723,28.67,136,1144.2,447,3163,13695,30.24,130,1156.6,395,1067,13.29,470,296,265,9,1,96,2,2353,196.6,460,11,0,112,2374,202.5,334,450,170,2006,535,45.6,496,1256,491,2.734,306,443,1219,2.549,530,395,58,80,138,54,74,128,10,1.41,109.12,385,141,146,3080,1,109.12,248,27.69,59,15,15,13,14
Iowa,Big Ten,60,27,0.689655172,649,5840,31704,37.94,285,79,2550.8,132,5866,28795,34.13,187,199,2309.5,223,649,788,103,1540,223,649,788,103,1540,122,86,131,4.596,423,70,139,3.522,192,185,1392,2190,39.65,590,2538,1492,51,17910,49.04,83.68,134,1437.9,219,1550,2799,17332,114,43.35,78.46,1395.6,117,3415,274.18,472,95,818,3,61.09,472,95,818,3,61.09,338,333,129,87,69,285,6.036,282,229,56,62,65,183,5.561,524,3302,13794,29.33,151,1112.8,203,3067,11463,25.74,73,913.7,322,1150,12.44,122,199,186,4,0,91,1,1663,132.5,454,5,0,109,2485,201,649,344,206,1882,447,36.6,490,1217,478,2.705,277,464,1276,2.556,350,205,48,105,153,57,51,108,45,3.83,86.84,85,126,174,2189,0,86.84,300,17.33,77,11,11,16,17
Maryland,Big Ten,30,49,0.379746835,666,5109,28361,39.54,241,98,2542,604,5972,33535,39.19,304,325,2973.5,570,805,821,170,1796,570,805,821,170,1796,490,52,124,3.716,442,69,137,3.627,451,288,1959,4039,46.9,672,2208,1177,86,14315,46.55,86.07,101,1313.7,483,1476,2550,18383,136,49.91,86.53,1611.4,655,4930,447.85,419,111,866,1,52.35,419,111,866,1,52.35,517,219,83,48,47,178,5.645,551,358,147,85,73,305,5.969,405,2901,14046,33.73,140,1228.3,625,3422,15152,31.18,168,1362.1,727,1421,20.49,656,325,302,3,0,96,4,2554,226.6,605,6,0,65,2053,180.5,437,388,162,1813,469,42,735,1090,361,2.349,515,494,1210,2.862,783,580,48,63,111,51,86,137,-26,-2.94,99.33,249,204,32,4038,1,99.33,170,26.02,66,12,12,22,19
Michigan,Big Ten,54,29,0.65060241,539,5662,32167,39.84,293,53,2705.5,116,5282,24488,32.85,185,202,2141.5,85,590,600,167,1357,85,590,600,167,1357,526,58,115,3.436,360,59,129,3.29,393,203,1636,2574,43.87,530,2427,1434,67,17681,50.67,85.98,118,1507.9,132,1174,2264,14054,86,43.95,84.22,1233.6,442,4315,365.33,508,121,1094,4,58.79,508,121,1094,4,58.79,300,342,145,69,85,299,6.075,447,224,81,51,54,186,5.823,429,3235,14486,31.36,175,1197.6,188,3018,10434,24.56,99,907.9,369,1093,13.03,184,202,188,4,0,76,1,1638,146.3,393,13,2,111,2550,213,284,452,290,2578,597,48.8,427,1147,473,2.856,192,363,1165,2.252,287,513,39,60,99,46,67,113,-14,-1.36,98.9,274,133,176,2573,2,98.9,148,12.14,138,9,9,17,29
Michigan St.,Big Ten,52,33,0.611764706,570,6173,33221,37.38,259,113,2708.7,158,5527,28149,35.73,223,241,2349.6,148,505,815,144,1464,148,505,815,144,1464,522,63,130,3.374,449,68,133,3.613,531,263,2267,3460,46.06,425,2837,1595,77,19876,49.34,87.57,131,1638.2,380,1615,2775,18639,117,47.25,80.93,1542.1,535,4703,392.52,496,135,1220,5,63.37,496,135,1220,5,63.37,465,319,100,91,73,264,5.85,469,243,88,57,58,203,5.838,588,3336,13345,27.08,128,1070.4,139,2752,9510,24.17,106,807.5,305,903,11.89,272,241,220,9,1,83,2,1939,165.8,613,4,0,105,2244,180.5,408,365,312,2088,521,42.9,446,1289,532,2.848,232,413,1193,2.446,211,413,68,86,154,56,77,133,21,0.91,106.61,367,164,85,3459,2,106.61,280,17.71,58,10,10,13,6
Minnesota,Big Ten,49,35,0.583333333,628,5605,30960,38.65,273,88,2586.6,250,5547,29889,38.56,243,258,2517.9,228,683,766,119,1568,228,683,766,119,1568,348,58,103,4.01,513,66,123,3.802,361,219,1242,3251,41.71,649,2095,1178,70,15823,52.87,94.85,103,1319.7,212,1532,2577,16562,117,45.65,76.28,1383.7,186,3582,297.04,216,119,685,0,30.52,216,119,685,0,30.52,398,335,151,68,66,285,5.931,646,263,94,75,60,229,6.082,378,3510,15137,30.23,170,1267,424,2970,13327,32.36,126,1134,311,971,12.47,303,258,224,10,0,85,2,2051,173.4,500,6,0,97,2317,192.6,521,384,200,1858,484,39,417,1130,457,2.87,444,463,1182,2.745,232,375,66,72,138,54,70,124,14,1.08,96.29,263,164,130,3251,1,96.29,247,16.67,103,9,9,18,15
Nebraska,Big Ten,40,43,0.481927711,389,5948,34857,40.89,291,109,2928.5,456,5788,33115,40,281,302,2792.8,363,691,845,143,1679,363,691,845,143,1679,457,63,125,3.639,401,69,140,3.489,492,276,2256,3692,44.04,461,2632,1519,88,19347,51.27,88.76,128,1618.1,416,1600,2762,18914,114,48.03,82.4,1589.1,542,4760,402.9,616,107,1059,4,66.92,616,107,1059,4,66.92,418,334,139,64,76,279,5.838,533,318,123,76,71,270,5.948,347,3316,15510,32.46,163,1310.6,507,3026,14201,32.51,167,1203.6,330,1049,12.58,503,302,276,7,0,94,6,2396,203,447,9,0,99,2453,204,560,352,200,1804,452,38.5,435,1189,484,2.825,415,443,1168,2.684,441,597,42,75,117,58,88,146,-29,-2.82,109.32,406,170,120,3691,4,109.32,283,25.33,78,11,11,16,9
Northwestern,Big Ten,50,35,0.588235294,678,6355,30285,33.22,233,63,2486.5,272,6035,30868,35.64,202,220,2530.2,341,665,868,107,1640,341,665,868,107,1640,509,94,190,3.484,277,65,144,3.169,296,245,1508,3364,40.21,602,2840,1618,87,16871,40.85,72.05,89,1376.5,419,1742,2999,19270,98,44.35,76.75,1564,152,3305,273.54,264,135,772,1,36.02,264,135,772,1,36.02,558,291,116,53,69,238,5.676,177,294,89,63,73,225,5.332,517,3515,13414,26.63,144,1109.9,246,3036,11598,27.03,104,966,545,1412,16.43,192,220,197,2,0,99,4,1826,148.4,678,8,1,82,1970,161.6,410,421,206,1979,524,43,539,1386,534,2.695,277,467,1290,2.524,475,329,63,93,156,48,87,135,21,1.69,96.83,209,174,80,3362,0,96.83,300,17.04,16,14,14,13,7
Ohio St.,Big Ten,81,8,0.91011236,100,6648,44462,47.06,465,114,3505.6,150,6017,28686,33.61,195,209,2272.5,272,609,774,161,1544,272,609,774,161,1544,151,79,125,4.467,269,62,142,3.115,111,345,2144,3957,36.5,348,2714,1792,54,22927,59.2,89.27,240,1793.5,272,1537,2859,17580,94,43.24,79.82,1416.2,521,5104,398.03,282,71,369,1,54,282,71,369,1,54,439,440,177,122,74,372,5.873,313,245,81,59,53,193,5.493,120,3934,21535,38.54,225,1711.9,153,3158,11106,24.49,101,856.3,420,1041,14.19,126,209,186,4,0,72,2,1668,131.8,70,2,0,89,3728,292.8,211,539,228,2694,653,50.5,108,1221,589,3.389,110,435,1331,2.295,278,171,66,103,169,62,54,116,53,4.61,88.02,99,225,124,3957,3,88.02,131,17.82,67,8,8,13,17
Penn St.,Big Ten,60,28,0.681818182,423,6111,35658,40.77,338,65,2842,155,6138,29294,33.46,205,221,2326.4,289,661,802,123,1586,289,661,802,123,1586,450,68,133,3.601,197,57,144,2.595,407,220,1982,2926,51.9,386,2805,1625,65,21260,53.36,92.18,157,1694.2,255,1636,2833,17769,94,43.95,76.13,1411.4,148,3716,293.87,268,143,805,1,39.22,268,143,805,1,39.22,280,358,140,83,90,313,6.08,521,251,96,50,67,213,5.936,468,3306,14398,30.21,181,1148,213,3305,11525,24.28,111,915,632,1375,18.27,175,221,202,4,0,92,4,1820,146.5,341,5,0,113,2801,221.9,115,515,314,2849,672,53.3,498,1223,468,2.693,228,479,1362,2.467,496,411,68,73,141,64,65,129,12,0.68,93.98,173,151,224,2923,1,93.98,169,14,106,10,10,14,13
Purdue,Big Ten,27,53,0.3375,519,5795,31323,37.97,254,91,2735,605,5873,34236,40.59,298,313,2983.5,500,751,880,138,1769,500,751,880,138,1769,507,88,177,3.523,483,64,125,3.579,505,203,1682,2728,44.55,262,3276,1956,100,21476,45.94,76.17,158,1897.5,588,1566,2592,19401,136,52.7,86.78,1699.9,351,3909,345.34,444,97,750,2,58.5,444,97,750,2,58.5,358,277,74,94,71,239,5.976,362,352,132,79,77,288,5.722,740,2519,9847,26.69,96,837.4,556,3281,14835,31.01,162,1283.5,544,1264,16.1,586,313,285,5,0,101,2,2480,217.4,592,5,0,87,2080,182.2,548,380,136,1729,448,39.2,554,1216,464,2.665,593,496,1182,2.957,648,635,47,67,114,49,100,149,-35,-2.83,108.78,360,132,142,2728,1,108.78,210,19.88,71,12,12,12,18
Rutgers,Big Ten,24,58,0.292682927,774,5349,25668,33.41,186,98,2191.4,648,5766,35554,43.11,334,351,3038.3,433,795,821,136,1752,433,795,821,136,1752,665,54,123,3.026,417,65,130,3.566,389,236,2015,2866,45.16,738,2246,1219,89,13534,41.88,76.96,85,1158.7,435,1449,2403,18385,147,53.58,88.57,1574.3,431,4291,369.3,462,156,1287,3,54.87,462,156,1287,3,54.87,561,216,75,42,58,175,5.593,419,346,134,89,61,284,5.78,611,3103,12134,27.3,101,1032.7,713,3363,17169,35.51,187,1464,404,1138,13.81,679,351,332,3,0,87,1,2707,231.1,744,4,0,76,1637,141,599,336,210,1582,441,38.4,769,1177,396,2.362,614,496,1163,2.975,552,629,45,63,108,54,89,143,-35,-2.74,100.13,276,141,47,2866,4,100.13,333,17.58,39,10,10,12,12
Wisconsin,Big Ten,66,22,0.75,407,6105,36468,41.3,324,83,2867.7,49,5303,25571,33.71,164,176,2020.9,78,515,702,134,1351,78,515,702,134,1351,308,57,90,4.259,297,50,116,2.902,263,218,2432,1953,36.9,689,2226,1371,79,16221,50.47,82.09,114,1293.2,86,1294,2514,15830,87,44.07,85.62,1253.7,255,4004,317.87,416,115,839,2,49.21,416,115,839,2,49.21,339,363,149,89,74,312,6.016,263,223,58,49,68,175,5.424,239,3879,20247,35.71,210,1574.6,98,2789,9741,24.29,77,767.3,246,875,11.34,75,176,163,6,0,92,0,1507,119.2,392,3,0,102,2699,209.7,495,427,176,2241,515,40.5,304,1184,513,3.004,80,351,1172,2.069,44,424,60,90,150,62,79,141,9,0.39,97.76,212,100,243,1953,0,97.76,287,19.16,54,13,13,11,12